vp_code,eyemovement_rate,speech_rate,reading_speed,group
HJLWN26,5.06396852609777,5.03974918442053,49.3506493506493,1
HWEBM18,4.86111111111111,4.43475379488576,61.038961038961,1
ISNKK11,4.32054924242424,4.34840102892893,75.3246753246753,1
JAADT15,4.66457932066929,4.71596009694148,63.6363636363636,1
JLAAR09,4.46697845185541,4.62212087463803,77.9220779220779,1
JWESM28,4.57885304659498,4.58994958992712,74.025974025974,1
KBXGN27,5.42307406581978,3.65478556954637,41.5584415584416,1
KRBEH29,4.70967741935484,4.37444844700291,76.6233766233766,1
KSAFT21,4.67127395056311,6.46020490691661,76.6233766233766,1
LRKWN21,5.19308943089431,5.0815032022685,88.3116883116883,1
MANOH08,4.61683019822555,5.27205563987553,77.9220779220779,1
MBMKE27,4.4548672257772,5.55932733542118,72.7272727272727,1
MDEAG05,4.7970410423942,5.2500413843978,89.6103896103896,1
MDLFT02,4.82804232804233,3.83545004535252,85.7142857142857,1
MFNFT25,4.76483532878296,5.30828091300571,77.9220779220779,1
MLHBP09,4.99716403606564,4.74501268229547,89.6103896103896,1
MRAAG08,4.338597384955,4.23322628442045,77.9220779220779,1
MRNRM04,4.61520398117792,4.27557087089045,63.6363636363636,1
MSASO30,4.75880052151239,5.01263941277638,55.8441558441558,1
NDNBH21,4.9042189719375,6.08800430534305,61.038961038961,1
NEAAG31,4.51261943870432,4.08290586772469,41.5584415584416,1
OGNFT19,4.75764854849822,4.16549604912712,64.9350649350649,1
ONNBM07,5.20101781170483,5.25500305357878,49.3506493506493,1
RARFT28,5.19308943089431,5.0561818629763,75.3246753246753,1
RKAOG05,3.83288328832883,4.75516423882271,50.6493506493506,1
RKLID17,4.082774049217,4.25324748926789,46.7532467532467,1
RSARN04,4.74276751157848,5.74528166177554,77.9220779220779,1
RTL13,5.07699950322901,5.18423976666236,71.4285714285714,1
SA1602,5.44857441409165,4.76049087790241,67.5324675324675,1
SBRFT04,5.16631280962491,5.51494789059846,66.2337662337662,1
SDAGN15,4.61607949412828,4.64019959436741,61.038961038961,1
SRAWN13,5.23297491039427,4.48346856579933,63.6363636363636,1
SRSBT23,4.14772727272727,4.16920014223085,62.3376623376623,1
SSAHR04,4.65875316813449,4.54754887178964,61.038961038961,1
SVOFT27,5.11204481792717,4.40207805757605,75.3246753246753,1
TA2406,4.34701238600789,5.66205921990007,84.4155844155844,1
UBEFT01,4.15420135275754,4.07690668775838,66.2337662337662,1
